NDB_No,Food_Name,Water_(g),Energy_Kcal,Protein_(g),Lipid_Total_(g),Ash_(g),Carbohydrates_(g),Fiber_TD_(g),Sugar_Total_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Pantothenic_Acid_mg),Vit_B6_(mg),Folate_Total_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_(mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholesterol_(mg),Refuse_Pct,Grams per Serving,Serving Size
11001,"ALFALFA SEEDS,SPROUTED,RAW",92.82,23,3.99,0.69,0.4,2.1,1.9,0.2,32,0.96,27,70,79,6,0.92,0.157,0.188,0.6,8.2,0.076,0.126,0.481,0.563,0.034,36,0,36,36,14.4,0,155,8,0,6,87,6,0,0,0.02,0,0,30.5,0.069,0.056,0.409,0,0,33,1 cup
12061,ALMONDS,4.41,579,21.15,49.93,2.97,21.55,12.5,4.35,269,3.71,270,481,733,1,3.12,1.031,2.179,4.1,0,0.205,1.138,3.618,0.471,0.137,44,0,44,44,52.1,0,2,0,0,0,1,0,0,1,25.63,0,0,0,3.802,31.551,12.329,0,60,143,"1 cup, whole"
20002,"AMARANTH GRAIN,CKD",75.16,102,3.8,1.58,0.77,18.69,2.1,,47,2.1,65,148,135,6,0.86,0.149,0.854,5.5,,0.015,0.022,0.235,,0.113,22,,22,,,,,,,,,,,,0.19,,,,,,,,0,246,1 cup
02002,ANISE SEED,9.54,337,17.6,15.9,6.95,50.02,14.6,,646,36.96,170,440,1441,16,5.3,0.91,2.3,5,21,0.34,0.29,3.06,0.797,0.65,10,0,10,10,,0,311,16,0,,,,,,,0,0,,0.586,9.78,3.15,0,0,2,"1 tsp, whole"
09021,"APRICOTS,RAW",86.35,48,1.4,0.39,0.75,11.12,2,9.24,13,0.39,10,23,259,1,0.2,0.078,0.077,0.1,10,0.03,0.04,0.6,0.24,0.054,9,0,9,9,2.8,0,1926,96,0,19,1094,104,0,89,0.89,0,0,3.3,0.027,0.17,0.077,0,7,155,"1 cup,  halves"
11008,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",84.08,53,2.89,0.34,0.74,11.95,8.6,0.99,21,0.61,42,73,286,60,0.4,0.127,0.225,0.2,7.4,0.05,0.089,1.11,0.24,0.081,89,0,89,89,34.4,0,13,1,0,0,8,0,0,464,0.19,0,0,14.8,0.081,0.011,0.143,0,60,120,"1 artichoke,  medium"
09037,"AVOCADOS,RAW,ALL COMM VAR",73.23,160,2,14.66,1.58,8.53,6.7,0.66,12,0.55,29,52,485,7,0.64,0.19,0.142,0.4,10,0.067,0.13,1.738,1.389,0.257,81,0,81,81,14.2,0,146,7,0,24,62,28,0,271,2.07,0,0,21,2.126,9.799,1.816,0,26,150,"1 cup, cubes"
20004,"BARLEY,HULLED",9.44,354,12.48,2.3,2.29,73.48,17.3,0.8,33,3.6,133,264,452,12,2.77,0.498,1.943,37.7,0,0.646,0.285,4.604,0.282,0.318,19,0,19,19,,0,22,1,0,0,13,0,0,160,0.57,0,0,2.2,0.482,0.295,1.108,0,0,184,1 cup
20006,"BARLEY,PEARLED,COOKED",68.8,123,2.26,0.44,0.27,28.22,3.8,0.28,11,1.33,22,54,93,3,0.82,0.105,0.259,8.6,0,0.083,0.062,2.063,0.135,0.115,16,0,16,16,13.4,0,7,0,0,0,5,0,0,56,0.01,0,0,0.8,0.093,0.057,0.214,0,0,157,1 cup
16017,"BEANS,BLACK TURTLE,MATURE SEEDS,CKD,BLD,WO/ SALT",65.74,130,8.18,0.35,1.38,24.35,8.3,0.32,55,2.85,49,152,433,3,0.76,0.269,0.327,1.2,0,0.225,0.056,0.527,0.26,0.077,86,0,86,86,32.6,0,6,0,0,0,0,0,0,0,0.87,0,0,3.3,0.089,0.03,0.149,0,0,185,1 cup
16015,"BEANS,BLACK,MATURE SEEDS,CKD,BLD,WO/SALT",65.74,132,8.86,0.54,1.15,23.71,8.7,,27,2.1,70,140,355,1,1.12,0.209,0.444,1.2,0,0.244,0.059,0.505,0.242,0.069,149,0,149,149,,0,6,0,0,,,,,,,0,0,,0.139,0.047,0.231,0,0,172,1 cup
16028,"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CKD,BLD,WO/SALT",66.94,127,8.67,0.5,1.09,22.8,6.4,0.32,35,2.22,42,138,405,1,1,0.216,0.43,1.1,1.2,0.16,0.058,0.578,0.22,0.12,130,0,130,130,30.5,0,0,0,0,0,0,0,0,0,0.03,0,0,8.4,0.073,0.039,0.278,0,0,177,1 cup
16038,"BEANS,NAVY,MATURE SEEDS,CKD,BLD,WO/SALT",63.81,140,8.23,0.62,1.3,26.05,10.5,0.37,69,2.36,53,144,389,0,1.03,0.21,0.527,2.9,0.9,0.237,0.066,0.649,0.266,0.138,140,0,140,140,44.7,0,0,0,0,0,0,0,0,0,0.01,0,0,0.6,0.098,0.142,0.49,,0,182,1 cup
16043,"BEANS,PINTO,MATURE SEEDS,CKD,BLD,WO/SALT",62.95,143,9.01,0.65,1.17,26.22,9,0.34,46,2.09,50,147,436,1,0.98,0.219,0.453,6.2,0.8,0.193,0.062,0.318,0.21,0.229,172,0,172,172,35.3,0,0,0,0,0,0,0,0,0,0.94,0,0,3.5,0.136,0.133,0.235,0,0,171,1 cup
